Name,Devanagari Script,Meaning
Tavas,तवस्,"strong, energetic"
Taviṣa,तविष,"strong, energetic, courageous, heaven, ocean"
Tavya,तव्य,strong
Tāttvika,तात्विक,in accordance with reality
Tādātmaka,तादात्मक,denoting the unity of the nature
Tāpana,तापन,illuminating
Tijila,तिजिल,the moon
Tittirika,तित्तिरिक,a partridge
Tiniśa,तिनिश,Indian rosewood
Timita,तिमित,"quiet, steady, fixed"
Timiśa,तिमिश,name of a tree
Tirima,तिरिम,a kind of rice
Tiriṭa,तिरिट,"tiara, diadem"
Tiṣya,तिष्य,name of a nakṣatra
Tīkṣṇavega,तीक्ष्णवेग,possessing great velocity
Tuṅga,तुङ्ग,"prominent, erect, lofty"
Tuja,तुज,a thunderbolt
Turaṇya,तुरण्य,swift
Tvyojas,त्वोजस्,very powerful
Tuṣṭa,तुष्ट,"satisfied, pleased"
Tuṣāra,तुषार,"frost, snow, mist, thin rain"
Tūṇava,तूणव,a flute
Tūṣṇika,तूष्णिक,silent
Tṛṣṇaka,तृष्णक,"desirous, eager"
Teja,तेज,sharpness
Tejas,तेजस्,gleaming with lustre
Toṣa,तोष,"satisfaction, contentment, pleasure, joy"
Tautika,तौतिक,a pearl oyster
Tvarāyukta,त्वरायुक्त,expeditious
Tveṣas,त्वेषस्,"energy, impulse"
Taṭākinī,तटाकिनी,a large pond
Tridhā,त्रिधा,power of three goddesses
Tanvī,तन्वी,"thin, slender, attenuated"
Tanutā,तनुता,"thinness, littleness. tenuity"
Tapatī,तपती,"‘warming’, name of the daughter of the sun and the mother of the Kurus"
Tapadyutī,तपद्युती,"brilliant like the sun, sunshine"
Tapasutā,तपसुता,"‘sun-daughter’, the Yamunā river"
Tapasyā,तपस्या,"produced by heat, belonging to austerity"
Taponiṣṭhā,तपोनिष्ठा,practising austerities
Tamālinī,तमालिनी,"place overgrown with Tamāla trees, auspicious place"
Tampā,तम्पा,a cow
Taraṅgiṇī,तरङ्गिणी,river
Taraṅgītā,तरङ्गीता,having folds as waves
Taraṇī,तरणी,"quick, untired, energetic"
Taraṇīvallī,तरणीवल्ली,Himalayan balsam
Tarikā,तरिका,the skin in hot milk
Taritā,तरिता,leader
Taralā,तरला,glittering
Taravī,तरवी,quadrature
Tarupaṅkti,तरुपङ्क्ति,a row of trees
Talinā,तलिना,"thin, fine"
Taviṣī,तविषी,"power, strength, courage, name of the daughter of Indra"
Tātparyā,तात्पर्या,"devoting oneself, aim"
Tādurī,तादुरी,swimmer
Tāpanī,तापनी,illuminating
Tārakāṇī,तारकणी,starry night
Tārā,तारा,star
Tāviśī,ताविशी,moon
Titikṣā,तितिक्षा,"endurance, forbearance, patience, daughter of Dakṣa"
Titirṣā,तितिर्षा,desire of final emancipation
Tithi,तिथि,a lunar day
Tinikā,तिनिका,jowar
Timilā,तिमिला,name of a musical instrument
Tilottamā,तिलोत्तमा,name of an Apsaras
Tīvrā,तीव्रा,"strong, severe, intense"
Tuṅgā,तुङ्गा,"name of a metre, river in Mysore"
Tuḍī,तुडी,name of a Rāgiṇī
Turvaṇī,तुर्वणी,"overpowering, victorious"
Tulasī,तुलसी,the holy basil
Tuṣṭi,तुष्टि,"satisfaction, contentment, daughter of Dakṣa"
Tūtumī,तूतुमी,strong
Tūrtā,तूर्ता,"quick, expeditious"
Tūlā,तुला,a lamp wick
Tṛpti,तृप्ति,"satisfaction, gladden, contentment"
Tṛṣā,तृषा /Tṛṣṇā,thirst
Toḍikā,तोडिका,name of a Rāgiṇī
Totilā,तोतिला,a form of Durgā
Toṣaṇī,तोषणी,"satisfying, gratifying"
Tviṣā,त्विषा,"light, splendour"
Tvaṣṭī,त्वष्टी,Durgā
Tviṣī,त्विषी,"vehemence, energy"
Yakṣa,यक्ष,"(name of a class of semi-divine beings or attendants of Kubera, exceptionally also of Viṣṇu) a living supernatural being, spiritual apparition."
Yajata,यजत,"(name of Śiva) worthy of worship, adorable, holy, sublime, a priest, the moon."
Yajñadhara,यज्ञधर,(name of God Viṣṇu) bearer of sacrifice.
Yaṇva,यण्व,name of a Sāman sung in a sacrifice.
Yati,यति,"(name of a mythical race of ascetics connected with the Bhṛgus and said to have taken part in the creation of the world) an ascetic, devotee, a disposer."
Yadu,यदु,"name of an ancient hero in Vedas often mentioned together with Turvaśa and described as preserved by Indra during an inundation. (Also, he’s the son of Yayati and king of the Cedi region)."
Yamaka,यमक,a religious observance or obligation.
Yayāti,ययाति,(son of King Nahuśa) celebrated monarch of the lunar race.
Yavīnara,यविनार,name of a son of Ajamīḍha or of Dvimīḍha or of Bharmyāśva or of Vāhyāśva.
Yaśa,यश,"beautiful, splendid, worthy, excellent."
Yaśogopi,यशोगोपि,name of a sanskrit scholar.
Yahu,यहु,"swift, mighty, strong."
Yāma,याम,"course, progress, road, way, path, chariot."
Yāmīra,यामीर,the moon.
Yājñika,याज्ञिक,"relating or belonging to sacrifice, a sacrificer, one well-versed in sacrificial ritual."
Yādava,यादव,"(name of Kṛṣṇa, name of various authors) belonging to Yadu clan."
Yāska,यास्क,author of the Nirukta (which is a commentary on difficult Vedic words contained in the list called Nighaṇṭu).
Yuga,युग,"a yoke, team, an age of the world, long mundane period of years."
Yudhiṣṭhira,युधिष्ठिर,(name of the eldest of the Pāṇḍavas) firm or steady in battle.
Yogindra,योगिन्द्र,name of Yajñavalkya and Valmikī ṛṣis.
Yauthika,यौथिक,"belonging to a troop or herd, a companion, a comrade."
Yuvarāja,युवराज,a prince.
Yohula,योहुल,name of a man.
Yodheya,योधेय,"a warrior, combatant."
Yamana,यमन,a Rāga in Hindustānī classical music.
Yajā,याजा,"name of a female tutelary being (mentioned with Sitā, Śamā and Bhūti)."
Yajñaśrī,यज्ञश्री,promoting sacrifice.
Yatitā,यतिता,"striven, endeavoured, attempted."
Yatavratā,यतव्रता,"observing vows, firm of purpose."
Yamī,यामी,"twin-born, forming a pair. (sister of deity of death, according to Indian Mythology, i.e. Yama)."
Yamanī,यमनी,"restraining, governing, binding, typing."
Yamalā,यमला,"name of a Tantra deity, of a river."
Yamunā,यमुना,name of a river commonly called the Jamunā or Jumnā.
Yavakṣā,यवक्षा,name of a river mentioned in ancient scriptures.
Yaśadā,यशदा,bestowing fame or honour.
Yaśaśrī,यशश्री,success or prosperity in the form of wealth.
Yaśodā,यशोदा,"(mother of Lord Kṛṣṇa) bestowing fame or honour, name of a particular brick used for sacrificial altar."
Yaṣṭikā,यष्टिका,"a staff, stick, club, a particular pearl ornament or necklace, an oblong pond or tank."
Yahvatī,यह्वती,ever-flowing (waters).
Yāminī,यामिनी,"(name of daughter of Prahlāda) night, consisting of watches."
Yuti,युति,"union, junction, connection, combination, sum."
Yuvā,युवा,name of one of Agni’s arrows.
Yogā,योगा,"name of a śakti, of daughter of the Pitṛs called Barhiṣads."
Yoginī,योगिनी,"(name of Goddess Durgā) one absorbed in Yoga, any being endowed with magical power."
Yaugikī,यौगिकी,relating to or derived from Yoga.
Yoṣā,योषा,"an adjective used for Vedic deity Uṣas, swift mare."
Yojitā,योजिता,"connected, put together, arranged, composed."
Yogyā,योग्या,"fit, qualified, serviceable, proper."
Yūni,यूनि,"connection, union."
Yūthikā,यूथिका,a kind of Jasmine flower.
